date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:07	91149/91149	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:07%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/home/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/home/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:08	93362/93362	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:13:51%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/06-event.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/06-event.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:08	86196/86196	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:32%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/04-faculty-detail.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/04-faculty-detail.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:08	85191/85191	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:38%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/07-campus-life-detail.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/07-campus-life-detail.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:09	59632/59632	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:13:57%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/09-contact.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/09-contact.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:10	110076/110076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:36%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/06-campus-life.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/06-campus-life.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:10	83344/83344	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:09%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/about-us/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/about-us/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:11	75543/75543	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:09%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/faculty/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/faculty/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:11	75116/75116	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:10%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/faculty-detail/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/faculty-detail/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:13	78975/78975	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:11%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/staff/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/staff/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:13	67494/67494	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:12%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/campus-life/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/campus-life/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:13	118052/118052	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:40%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/08-staff.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/08-staff.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:16	103649/103649	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:27%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/02-about-1.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/02-about-1.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:16	57227/57227	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:14%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/campus-life-detail/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/campus-life-detail/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:16	126146/126146	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:29%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/03-faculty-1.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/03-faculty-1.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:16	70884/70884	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:15%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/event/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/event/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:18	45990/45990	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:13:58%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/10-404.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/10-404.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:18	43040/43040	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Nov%202021%2007:53:17%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/error-404/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/error-404/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:19	55168/55168	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2007:53:17%20GMT	https://template-kit.rootlayers.com/campusa/template-kit/contact-us/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/contact-us/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:19	15480/15480	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:14:01%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/12-footer.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/12-footer.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:20	3113/3113	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2006%20Aug%202021%2003:36:43%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:20	18468/18468	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/animations/animations.min3d36.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:20	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2004%20Feb%202021%2007:51:11%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/js/wp-embed.min.js?ver=5.8.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/js/wp-embed.minf658.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:20	25202/25202	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:21:30%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:21	55959/55959	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:13:59%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/11-header.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/11-header.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:21	5462/5462	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:21:30%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.3.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min6765.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:21	4769/4769	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/webpack.runtime.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:22	58893/58893	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2023:21:30%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.3.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor-pro/assets/js/frontend.min6765.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:22	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:22	64914/64914	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/frontend-modules.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:22	173954/173954	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2014:18:25%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/01-home-1.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/01-home-1.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:22	20787/20787	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Apr%202021%2007:52:53%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/js/jquery/ui/core.min35d0.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:23	2578/2578	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/share-link/share-link.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:23	10863/10863	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:23	68177/68177	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/frontend.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:23	139153/139153	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:24	58080/58080	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/preloaded-modules.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/js/preloaded-modules.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
